"","IaStar","EaStar"
"1817",8.47379167823091e-06,6.57644730510744e-06
"1818",9.5795633639243e-06,7.46311190216549e-06
"1819",5.44013358317073e-06,4.17837450497661e-06
"1820",8.9940873584228e-06,6.75354523809846e-06
"1821",6.15366030600996e-06,4.80430048135186e-06
"1822",4.96125789936918e-06,4.07739236183686e-06
"1823",6.65052940626575e-06,5.4004116436067e-06
"1824",5.01571473090054e-06,4.1230074242075e-06
"1825",2.09931891922869e-06,1.81698121504967e-06
"1826",4.55556688608695e-06,3.59053713850299e-06
"1827",6.19877322940151e-06,4.82361633461673e-06
"1828",3.59335482966647e-06,3.0701718248409e-06
"1829",3.85223490068883e-06,2.95682911301798e-06
"1830",5.30138613583062e-06,3.84687442031682e-06
"1831",8.38236520719986e-06,6.12304469414862e-06
"1832",1.0898388108377e-05,8.07243475193608e-06
"1833",1.1821349873589e-05,8.37470871763127e-06
"1834",2.07501141668902e-06,1.75609504112059e-06
"1835",5.96008808153152e-06,4.43046229996007e-06
"1836",1.84745589227144e-06,1.5314026753051e-06
"1837",1.19940424000999e-06,1.08983175053177e-06
"1838",7.44669602823616e-06,5.59883193957528e-06
"1839",6.39652550406961e-06,5.04573720891733e-06
"1840",1.09154240111797e-05,8.12299330750795e-06
"1841",6.54103901251932e-07,6.2006214219579e-07
"1842",1.0070867205143e-05,7.27832316838457e-06
