"","IaStar1","EaStar1"
"4196",2.19648251557307e-05,1.38691448428385e-05
"4197",9.06860547711396e-06,5.99117756654147e-06
"4198",2.00754583064455e-05,1.28576474220938e-05
"4199",6.84474166499231e-06,4.65440200946469e-06
"4200",1.0362961926295e-05,6.23079129726961e-06
"4201",1.59655689641016e-05,9.51032053958086e-06
"4202",6.42947333954952e-06,4.58333195233957e-06
"4203",7.26752202849316e-05,4.12853174028163e-05
"4204",1.90309352221575e-05,1.12195731486255e-05
"4205",7.17883793424996e-06,4.86162119676148e-06
"4206",4.29110523585485e-06,2.83606557572681e-06
"4207",8.94729736902691e-06,5.83954772209918e-06
"4208",7.67367727274744e-06,5.37738984741345e-06
"4209",1.76889184764706e-05,1.12018216745124e-05
"4210",6.5192400215169e-06,4.49026842325274e-06
"4211",3.01547494695584e-05,1.85808674326104e-05
"4212",4.02247299435713e-06,3.0616508598373e-06
"4213",6.07407166071255e-06,4.38937262500274e-06
"4214",9.22204543403426e-06,6.59465666354212e-06
"4215",4.98994575219228e-06,3.45070220197593e-06
"4216",1.20866391485584e-05,8.79445228140235e-06
"4217",7.63044285977212e-06,5.27134952871317e-06
"4218",7.12163915009857e-06,4.93614484206569e-06
"4219",2.38786903505703e-05,1.32324630415254e-05
"4220",1.87296459601708e-05,1.18386413157993e-05
"4221",7.16847785245905e-06,5.10456572652011e-06
"4222",9.46636532911015e-06,6.18225045215713e-06
"4223",7.29220684987078e-06,4.82218511383646e-06
"4224",1.05951876761906e-05,7.2610289276708e-06
"4225",1.48563057850001e-05,9.74694207150099e-06
"4226",1.11909223260459e-05,7.02453424051239e-06
"4227",2.68508526519949e-05,1.64021386661166e-05
"4228",3.45894618400424e-05,1.96425570635906e-05
"4229",1.90364581172527e-05,1.23914533619895e-05
"4230",9.91514631313331e-06,6.78772912183827e-06
"4231",1.57535206771134e-05,9.96712611448457e-06
"4232",6.59159820810056e-06,4.53108788829443e-06
"4233",7.20042900323369e-06,5.0362950579499e-06
"4234",1.04398167766058e-05,7.09280695109908e-06
"4235",2.17837316747903e-05,1.23279843819893e-05
"4236",1.32235332171037e-05,8.59375547273317e-06
"4237",1.03872992570977e-05,6.98567173540128e-06
"4238",6.06534596505975e-06,4.03321964381081e-06
"4239",9.50524569225151e-06,6.57446125740109e-06
"4240",8.35739061889403e-06,5.44017351410383e-06
"4241",9.37098614215863e-06,6.46651929051624e-06
"4242",1.02636480650878e-05,6.41535919164245e-06
"4243",6.39621464480821e-06,4.43442737850773e-06
"4244",1.27610286997093e-05,8.40048580029645e-06
"4245",1.06035276288538e-05,6.88828251040654e-06
"4246",4.42004746323734e-06,3.58272488715482e-06
"4247",1.52997751962483e-05,9.62909229057553e-06
"4248",3.14165508308652e-06,2.48376204461144e-06
"4249",4.54030295295033e-06,3.10838691910497e-06
"4250",8.28366031990861e-06,5.54330634563728e-06
"4251",8.87480649227584e-06,6.07645690142696e-06
"4252",1.32068179232391e-05,7.89831666615557e-06
"4253",4.01788367231782e-06,3.0630574404992e-06
"4254",2.81323688643021e-06,2.20861497087577e-06
"4255",1.52769399044401e-05,9.98841190667704e-06
"4256",3.14237116419717e-05,1.93940399464451e-05
"4257",1.35495547561063e-05,8.25824261585173e-06
"4258",1.6283348241961e-05,1.02427167851999e-05
"4259",1.46326026580951e-05,9.19973121512728e-06
"4260",8.92893093027481e-06,6.03432457953153e-06
"4261",2.24599946459489e-05,1.43793783569394e-05
"4262",5.34364056178251e-05,2.783315681748e-05
"4263",2.48253047364638e-05,1.52373653882297e-05
